plans,markets,filename,sample_plan_names,url
643182,group,CA_ELRKMEDELRK.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://antm-pt-prod-dataz-nogbd-nophi-us-east1.s3.amazonaws.com/anthem/CA_ELRKMEDELRK.json.gz
643182,group,CA_ELHOMEDELHO.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://antm-pt-prod-dataz-nogbd-nophi-us-east1.s3.amazonaws.com/anthem/CA_ELHOMEDELHO.json.gz
643182,group,CA_ENKHMEDENKH.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://antm-pt-prod-dataz-nogbd-nophi-us-east1.s3.amazonaws.com/anthem/CA_ENKHMEDENKH.json.gz
200524,group,2026-09_720_27B0_in-network-rates_02_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_02_of_25.json.gz?&Expires=1792591249&Signature=GrB~E1HNeWqb75purRMVDqzmxHxVOS9hxw2gjGNeG-Ht0kmjyYQ68NVMFV3z1077r-9uOno6VtEbi7dYD7VWpoDBGIElbFp~4cEv9VeE-~46zXyIZdX0MVfabPYMZo2c1iiTYZK-buexr8GhMulLnE3x~MOfWAbVJNOBfZvWxU0VPZgUC0-Ei8a6dMkHgrw4jgQeQtDXdEl-yFSkP1WqDd2oM781FArx1KSAkeaZ7hRrX-LQKxTuqczNwJ9k~tXJyxHJULVlxa-vZLQUX~3fJfb~yTCFvDdiEqsL7j-6trCkY0Ls0u85IY9UuSkKGbL8lv1yUFsLd~8u0d4C8gW57Q__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_14_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_14_of_25.json.gz?&Expires=1792591249&Signature=X40vKpFBKmxlPfvSUISq9Hs6mdBRt8nA-hqDxjz6yVG0PuVmGzxRV29VeFHakrqiCKtWFytB4nfaoXau5kDOTi5gZKZOxme9H-y6NBl0enHiwHy2IiygFGOFPKPiR9J94Hxnrh7~GZAq7roZJKsmx5Imt0mH~vhk-w9cxrPvSu-gxZ90II2c~api7BJ9BP8Y4IngW9OZoINfIpDuJF8HLBIfsTaETfaVGP4zrASfwZNQBuNGOqtJrkTDVgVdvk~w5FR7TsXfauiEKsQHR1uFTmYiW6TyXDy1oiDOdnCwZaZyrdQ7VDIElcImynEnb6~32TBPatRvau2W66zFvU6UGQ__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_19_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_19_of_25.json.gz?&Expires=1792591249&Signature=QtihxoFWKAr7RwxfRLslewwO8dJsyUl~OCW1KsYew9lTMugrJpl5B3mms6avjzSHdxTArjjOdyze7jbSja4bovnxqm21kW-Ywi2cBIpB8~JItyAJ8qteWCaEBUiGppldPYoUEEFO6I3fzk5epOG-tKRH-4myM08cwwHO7T1OVR3WkeOeXstvKQVqwJZ4C2YsvCBB54HH1qfdDsID43PcnvEvIosPAL2-JqVUkpSE9z7bZ8XCwF-0beShGOjfUxzFUddLvvJ7254VWivOFWLoqN0IFUUTV-RajllGzIw5~JOkFyJvpZZQAG0dhfOwgPR1eddRbFRXW7p7vT6vP4T~7g__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_11_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_11_of_25.json.gz?&Expires=1792591249&Signature=LccmvKMLn-7xpRIHLMaU0aFh-IK1eskhL~ze4Tvscs938NqSJi~CdKYwa8HseJf81nRTraSbxXr5R3WdhKePKJY1IxADJanljkszp9Fm-CEBlc8nzdU7zNYEmcpqFOjTRp-mrBuPgurti1cB1O7v6Z0QBFS~JXkpHZjAVIAMkvBCKxihZoaJlZPClOw7asbvbSSEFb4boXk~hdSbaWPO1COOZ9qtAAZuztZ8FZALisM7gk0sLnUa1DQ4erz8JJjApWjMWvOzVf9EZYCgY-ZC~FWnwrh~~Gjorl3UBqiQRJ5l4CSCArdFn7LtuMYBbueHq7JwnYpbIUeZqUbV-hul-w__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_10_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_10_of_25.json.gz?&Expires=1792591249&Signature=yR6T5Zb4gP1aCjp78FA7PYmicXrxXD3QCsct58kfBvF1CI2def~E3Vj54TnacAQX~2ld~jaZbLZVre2QhCDg4c1m1BFNCVF-bkfuH1ep8yykWs-o~ZFHYx~DBDedc7MT~ekRPiu63O3awDirJg~3Zw7wjbCR3I~UydBOkTMFX6Kc7if-eQ2IICBEqUb94kyR6Avj9uXoQgPbCqZhrwLCJVwSyA39a0MiBkzOHxppZ8GbTzXxFSUP-ilEP4I0BqymhUle1z-oMfynVtxW7qW3moyMgRIiWyPef8wF8RvtOJb7VU0VuK0VqhcshfMTJG22Umnq2Tk2ewr8mLqZWYhkkQ__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_12_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_12_of_25.json.gz?&Expires=1792591249&Signature=Qi5KIflnrtFWAyC98VqvyuMMdygpbDRWX3GuUTCE86SeRNy53FzS7nKiVgPW~06tf-1S5171KDh01GfoSdq9t60gVCM0kwhklKH5j0Ii8Uajx~yp2H27wVAJQuocFjIUlPhtUBY8LeCvuxnxXBN0eqHQnnQ~xAhkMy03zbMKjgRLhbk~biF7lkr4KXyiQZB4NFEfk~hYgh2xDWgeveJg08cyZyxoOabhFPxa4~KWyhCkS1w0tWglAgjhs7D~4dOwt~HXForcMQtyOu21n--l9MPJOdaR0mtT19oryGmz~jH~F0IHmmDYlijfwDNZ5PRCXItTo~Km63ZAM6g~Ah~uSQ__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_170_22B0_in-network-rates.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_170_22B0_in-network-rates.json.gz?&Expires=1792591249&Signature=TU~V9Ha9SJrM3fTEPaLQfJjJiDX00NZpf2m4MXktr7Zelv-fb9f79fTRogRChjAp5AbjBJ33MKGv5M6lHVMRKmE0U1p7nOa6GGxjC6wCvZ7t8exIhhvOLUIN-98xEt1NZEY4~A-nrmkiVjISSVSliSA6YdJyazMxQvR0AkDOlOfnJyQ2ZwxYKPBaunISxfhouWB-dUcsy92qoQmiWHc1kXW5YmRdjLCFHoMhUPfpfRu45FJ15WE7p2DtcLwJn4SRnLdy1q~EccdkHpXC8WMECcmFN0P9hiagjVBUymRJlZ8ON9Wj7jmm~SxniywXxr0e5kNdL4po3S8EBYQ-S4ihwg__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_22_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_22_of_25.json.gz?&Expires=1792591249&Signature=UQDRCjO~4N5kcsNdgW3AZ2BueO0xAupAh3hCuZXYOFfMC-echtJJSyjmwk2pV11DkATx~UuAX9NAhX6QiGPe9AGt9NSie-HhW0rU~7zRFWVBAql-dTd0pK7DFAb7zM20tWyXEmbfjLPf80kYYtv6CFzcT866NdXzxexNxRD3dPeE~K328L01Euw4NOZgdCQstoW9jUbszchpTOohJBbIboh9VOD0z4uL4dJxGQuiQoKpHnEBTrAL2ri40IxD1fFGKhq44KPewbhLY5RcMCQTs79jq1EDk6Hg-~cpaZJJaZqzq0HXH8pzAjqM2Aes4-kzoteNEY94CCXoS8VQdEcwZQ__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_415_63B0_in-network-rates.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_415_63B0_in-network-rates.json.gz?&Expires=1792591249&Signature=pPL4OnM7VFCDJLAF3Knxy8rzHtaCqfY9jwFBmXaztypWnKQj-6-82HBi4dqr102JwCjL1Z2yP-xgAlPCADb3O6oIJNwviLTvMmvzs57VDEqTt-Kmr5bFO0fi0-dkYkCSG05mcAMOSurKBNhLQBf94Y-6DbIS1OKk0qmK4WuT26TAbr2fpsJIRjb-uLLVnpgeyoPgtpbOyFBVFGeCRGJlf2QHGGm8bQ60PV~1gczglFLfUE3~JdRBqy-drb0j3tHkAjs~9wOqHRyOHKhLB-lMn~eE09LfXA3FKS3AYAMsaa6y9fm03QSoTnnJIWOx4UTrD~GyIoLqwc7KlyhtbDv-DA__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_18_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_18_of_25.json.gz?&Expires=1792591249&Signature=1kbfiC98ReATe8KiBa79qWmH-Vezs4AzZsUXUCIOMc6jWkp4csYX~iN7o5SSwLiqviIKcaPQQEWquWsBBZzJbU33oHuaVYNW2QVi48lXtxi5qdZS4fvMVT3J4DleZOoYui-~lQrjFf5V-ctca9lr2ovsXmHBF7IAe9RCj3XXqbytTgNbpQ6HgSRwwQYMPOnMXr~LiyrMmpRB-yhSM61BNh7BqSQKbchqam9Y10j1~KJmfgdnQtIOVrd2i3QwOKUcCwHjCMZ82m72WC-HTb-sMBu5piUwfMYHWbN9hT-SdVkGXyh9eu4UX4QwK4E~1Ijqw-h1Xz58PZzA-d8La3ej7w__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_17_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_17_of_25.json.gz?&Expires=1792591249&Signature=E8GYorwKQT7idC0bUT-GQgm~1h8v7MMFhn1BF3usWFjh92Qs7bXMNEWD055XE1PdT2plhxqomkoTlbkPqimj3xgOVUuf~S6Hpafie3gVTlntJ8hbTrWFxE7Fk8jvn78RFdUUPY5MoxA1h8TEJbshRTfE6aITngqlXC~OPZDvNkHvBvimjrGzERQIAVRaJ7FbRdtz-xhMEkF4J9utFQVAPjm~4aqvJ34PcLu0C7k2Xs5dG~G9zSa0mrTDVJIMjGFyADa7z~k~ZI77W1uJ4pAkfJggQyvxPI7CN26fvLI8g3xJiAkADNyEXpZigDd41-IyJxPeiZLBJlQiN5mCihXSRQ__&Key-Pair-Id=K27TQMT39R1C8A
200524,group,2026-09_720_27B0_in-network-rates_15_of_25.json.gz,ENTPRS DIABETS - LAW OFFICES OF BRIAN S WE - ANTHEM; K HEALTH - LAW OFFICES OF BRIAN S WE - ANTHEM; CALIFORNIA CARE HMO - LAW OFFICES OF BRIAN S WE - ANTHEM,https://anthembcca.mrf.bcbs.com/2026-09_720_27B0_in-network-rates_15_of_25.json.gz?&Expires=1792591249&Signature=GCxROnXo8ZE6odmdHvlDUG7w64c6ZtxtqT1pfmIBGh9SPQa215YTOliDVCJjEcyLrsGokJ8uIq-sXKcnPj1bCop~rKDtByvlzmpGK4ekDNw49RUps6D4V8tkMFXjhBBbAhRp3HhR3eKh6NSlmiLqIFKQqs9guNdkuTT2XC4Qlmc4fp11yrwIvl9-fGt0GNNWWBEUG6NL4Ae2bkeAlxauuFd23BxVCLTmS19tzcKf~-XJ0trgZ82swMdi2RWz6BtU-YXozmxBbGLdI2TrtKIRT3myoeQtUFwtU0-CdPa4KMs0vMPH8LoGDNu542OA-53cH3ELSFMpuL6fPLr~kS64XA__&Key-Pair-Id=K27TQMT39R1C8A
