search_term,npi,org_name,taxonomy,address,city,state,zip,system
Montefiore,1104949981,"EVEREST DIALYSIS SERVICES, INC.","Clinic/Center, End-Stage Renal Disease (ESRD) Treatment",1695 EASTCHESTER RD,BRONX,NY,10461,Montefiore
Montefiore,1558482679,"EVEREST DIALYSIS SERVICES, INC.","Clinic/Center, End-Stage Renal Disease (ESRD) Treatment",1325 MORRIS PARK AVE,BRONX,NY,10461,Montefiore
Montefiore,1265619654,GUN HILL MRI,"Radiology, Vascular & Interventional Radiology",5500 BROADWAY,BRONX,NY,10463,Montefiore
Montefiore,1841374592,GUN HILL MRI PC,"Clinic/Center, Radiology",200 E GUN HILL RD,BRONX,NY,10467,Montefiore
Montefiore,1831457894,MONTEFIORE,"Clinic/Center, Student Health",111 EAST 210TH STREET,BRONX,NY,10467,Montefiore
Montefiore,1841669900,MONTEFIORE,Rehabilitation Hospital,600 E. 233RD,BRONX,NY,10466,Montefiore
Montefiore,1487848123,MONTEFIORE AT 1 FORDHAM PLAZA,"Clinic/Center, Primary Care",1 FORDHAM PLZ,BRONX,NY,10458,Montefiore
Montefiore,1770778953,MONTEFIORE AT 141 S CENTRAL AVENUE,"Clinic/Center, Multi-Specialty",141 S CENTRAL AVE,HARTSDALE,NY,10530,Montefiore
Montefiore,1942677745,"MONTEFIORE CERC OPERATIONS, INC.",Clinic/Center,1225 MORRIS PARK AVENUE,BRONX,NY,10461,Montefiore
Montefiore,1649514977,MONTEFIORE CHILDREN'S HOSPITAL,"Chronic Disease Hospital, Children",3415 BAINBRIDGE AVE,BRONX,NY,10467,Montefiore
Montefiore,1558726182,MONTEFIORE COMMUNITY PHARMACY,Pharmacy,111 E 210TH ST,BRONX,NY,10467,Montefiore
Montefiore,1588869986,MONTEFIORE DENTAL,Dentist,3444 KOSSUTH AVE,BRONX,NY,10467,Montefiore
Montefiore,1194920496,MONTEFIORE DENTAL,Dentist,1575 BLONDELL AVE,BRONX,NY,10461,Montefiore
Montefiore,1164627469,MONTEFIORE DENTAL DEPARTMENT,Dentist,305 E 161ST ST,BRONX,NY,10451,Montefiore
Montefiore,1588867055,MONTEFIORE DENTAL DEPARTMENT,Dentist,3332 ROCHAMBEAU AVE,BRONX,NY,10467,Montefiore
Montefiore,1598960817,MONTEFIORE DENTAL DEPARTMENT,Dentist,951 PROSPECT AVE,BRONX,NY,10459,Montefiore
Montefiore,1023213337,MONTEFIORE DENTAL DEPARTMENT,Dentist,1516 JARRET PL,BRONX,NY,10461,Montefiore
Montefiore,1801092341,MONTEFIORE DENTAL DEPARTMENT,Dentist,1625 POPLAR ST,BRONX,NY,10461,Montefiore
