include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files
Y,Montefiore,131740114,hospital,Montefiore Medical Center,3596,11,,MONTEFIORE HOME HEALTH AGENCY; MONTEFIORE MEDICAL CENTER; MONTEFIORE MEDICAL CENTER NORTH DIVISION; MONTEFIORE MEDICAL GROUP - CO-OP CITY; MONTEFIORE MEDICAL GROUP-BURKE PED'S; MONTEFIORE MEDICAL GROUP/S RIVERDAL; MONTEFIORE NORTH PHYSICIANS; MONTEFIORE WESTCHESTER SQUARE; MONTEFIORE-GERIATRIC AMBULATORY PRACTICE
Y,Montefiore,462931956,hospital,Montefiore New Rochelle Hospital,222,3,,MONTEFIORE NEW ROCHELLE; MONTEFIORE NEW ROCHELLE - PROFESSIONAL BILLING
Y,Montefiore,462916938,hospital,Montefiore Mount Vernon Hospital,172,3,,MONTEFIORE MOUNT VERNON; MONTEFIORE MOUNT VERNON - PROFESSIONAL BILLING; MONTEFIORE MOUNT VERNON HOSPITAL
Y,Montefiore,131740119,hospital,Montefiore Nyack Hospital,93,3,,MONTEFIORE NYACK HOSPITAL; NYACK HOSPITAL; NYACK HOSPITAL HOME CARE
Y,Montefiore,141340054,hospital,Montefiore St. Luke's Cornwall Hospital,2,3,,ST LUKES CORNWALL HOSPITAL; ST. LUKE'S CORNWALL HOSPITAL
Y,Mount Sinai,111352310,hospital,Mount Sinai South Nassau,111,7,,SOUTH NASSAU COMMUNITIES HOSPITAL; SOUTH NASSAU COMMUNITY HOSPITAL EKG CARDIOLOGY; SOUTH NASSAU HOSPITAL HOME CARE; SOUTH NASSAU PATHOLOGY
Y,Mount Sinai,131624096,hospital,The Mount Sinai Hospital (incl. Queens),52,10,,"MOUNT SINAI CENTER FOR CLINICAL LABORATORIES; MOUNT SINAI HOSPITAL; MOUNT SINAI HOSPITAL OF QUEENS; MOUNT SINAI HOSPITAL QUEENS, IM GROUP; MOUNT SINAI MEDICAL CENTER; MOUNT SINAI MSMC DIALYSIS CENTER; MT. SINAI SURGERY"
Y,Mount Sinai,135564934,hospital,Mount Sinai Beth Israel,36,5,,BETH ISRAEL MEDICAL CENTER; BETH ISRAEL MEDICAL CENTER RADIOLOGY; MOUNT SINAI BETH ISRAEL; MOUNT SINAI BI BROOKLYN
Y,Mount Sinai,132997301,hospital,Mount Sinai Morningside / Mount Sinai West,0,5,,MOUNT SINAI HOME INFUSION; MOUNT SINAI MORNINGSIDE; MOUNT SINAI-WEST
Y,Mount Sinai,135562304,hospital,New York Eye and Ear Infirmary of Mount Sinai,0,1,,NEW YORK EYE AND EAR INFIRMARY OF MOUNT SINAI
