include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files,in_target_list,target_names,nppes_orgs,nppes_states,nppes_sample
Y,Montefiore,131740114,hospital,Montefiore Medical Center,3596,11,,MONTEFIORE HOME HEALTH AGENCY; MONTEFIORE MEDICAL CENTER; MONTEFIORE MEDICAL CENTER NORTH DIVISION; MONTEFIORE MEDICAL GROUP - CO-OP CITY; MONTEFIORE MEDICAL GROUP-BURKE PED'S; MONTEFIORE MEDICAL GROUP/S RIVERDAL; MONTEFIORE NORTH PHYSICIANS; MONTEFIORE WESTCHESTER SQUARE; MONTEFIORE-GERIATRIC AMBULATORY PRACTICE,21/4963,MONTEFIORE MEDICAL CENTER x18; MOUNT SINAI SCHOOL OF MEDICINE x1; MONTEFIORE MEDICAL CENTER JACK D WEILER HOSPITAL x1,MONTEFIORE MEDICAL CENTER x1,"NY6,1,OH1","(not in NPPES) [,  ] | KIM, YU HYON [Ophthalmology, HIGHLAND HILLS OH] | MIR, ADNAN [Dermatology, WHITE PLAINS NY]"
Y,Montefiore,462931956,hospital,Montefiore New Rochelle Hospital,222,3,,MONTEFIORE NEW ROCHELLE; MONTEFIORE NEW ROCHELLE - PROFESSIONAL BILLING,2/285,MONTEFIORE NEW ROCHELLE HOSPITAL x2,,"NY10,1,GA1","(not in NPPES) [,  ] | KUMAR, MANISH [Student in an Organized Health, OCEANSIDE NY] | CHOWDHURY, ASIF [Physician Assistant, LONG ISLAND CITY NY]"
Y,Montefiore,462916938,hospital,Montefiore Mount Vernon Hospital,172,3,,MONTEFIORE MOUNT VERNON; MONTEFIORE MOUNT VERNON - PROFESSIONAL BILLING; MONTEFIORE MOUNT VERNON HOSPITAL,2/228,MONTEFIORE MOUNT VERNON HOSPITAL x2,MONTEFIORE MOUNT VERNON HOSPITAL x1,"NY5,1,NC1","(not in NPPES) [,  ] | FASSBENDER, PHILIPP [Anesthesiology, BRONX NY] | WU, HENRY [Podiatrist, Foot & Ankle Surge, FLUSHING NY]"
Y,Montefiore,131740119,hospital,Montefiore Nyack Hospital,93,3,,MONTEFIORE NYACK HOSPITAL; NYACK HOSPITAL; NYACK HOSPITAL HOME CARE,2/120,MONTEFIORE NYACK HOSPITAL x2,,"NY9,1,KY1","(not in NPPES) [,  ] | REID, ANNALEE [Midwife, BROOKLYN NY] | MURPHY, CAROLINE [Physician Assistant, NEW ROCHELLE NY]"
Y,Montefiore,141340054,hospital,Montefiore St. Luke's Cornwall Hospital,2,3,,ST LUKES CORNWALL HOSPITAL; ST. LUKE'S CORNWALL HOSPITAL,0/11,,ST. LUKE'S CORNWALL HOSPITAL x1; ST LUKES CORNWALL HOSPITAL x1,"NY7,1","(not in NPPES) [,  ] | ST. LUKE'S CORNWALL HOSPITAL [General Acute Care Hospital, NEWBURGH NY] | CHUKWUOCHA, BENJAMIN [Psychiatry & Neurology, Psychi, NEW CITY NY]"
Y,Mount Sinai,111352310,hospital,Mount Sinai South Nassau,111,7,,SOUTH NASSAU COMMUNITIES HOSPITAL; SOUTH NASSAU COMMUNITY HOSPITAL EKG CARDIOLOGY; SOUTH NASSAU HOSPITAL HOME CARE; SOUTH NASSAU PATHOLOGY,0/190,,,"NY11,1","(not in NPPES) [,  ] | KC, PARBATI [Nurse Practitioner, Family, OCEANSIDE NY] | WEINSTOCK, DAVID [Specialist, LYNBROOK NY]"
Y,Mount Sinai,131624096,hospital,The Mount Sinai Hospital (incl. Queens),52,10,,"MOUNT SINAI CENTER FOR CLINICAL LABORATORIES; MOUNT SINAI HOSPITAL; MOUNT SINAI HOSPITAL OF QUEENS; MOUNT SINAI HOSPITAL QUEENS, IM GROUP; MOUNT SINAI MEDICAL CENTER; MOUNT SINAI MSMC DIALYSIS CENTER; MT. SINAI SURGERY",14/74,MOUNT SINAI HOSPITAL x10; THE MOUNT SINAI HOSPITAL x1; MOUNT SINAI HOSPITAL PHARMACY x1,THE MOUNT SINAI HOSPITAL x2; MOUNT SINAI HOSPITAL x2,NY8,"CHOWDHURY, ASIF [Physician Assistant, LONG ISLAND CITY NY] | WANG, JENNIFER [Physician Assistant, ASTORIA NY] | THE MOUNT SINAI HOSPITAL [General Acute Care Hospital, LONG ISLAND CITY NY]"
Y,Mount Sinai,135564934,hospital,Mount Sinai Beth Israel,36,5,,BETH ISRAEL MEDICAL CENTER; BETH ISRAEL MEDICAL CENTER RADIOLOGY; MOUNT SINAI BETH ISRAEL; MOUNT SINAI BI BROOKLYN,0/71,,BETH ISRAEL MEDICAL CENTER x1,"NY5,1,FL1","(not in NPPES) [,  ] | BETH ISRAEL MEDICAL CENTER [Psychiatric Unit, NEW YORK NY] | EDWARDS, DONNA [Radiology, Diagnostic Radiolog, SUMTERVILLE FL]"
Y,Mount Sinai,132997301,hospital,Mount Sinai Morningside / Mount Sinai West,0,5,,MOUNT SINAI HOME INFUSION; MOUNT SINAI MORNINGSIDE; MOUNT SINAI-WEST,2/31,MOUNT SINAI WEST x1; ST LUKES ROOSEVELT HOSPITAL CENTER x1,ST LUKES ROOSEVELT HOSPITAL CENTER x1,"NY6,1,NJ1","(not in NPPES) [,  ] | KANCHERLA, PUSHPA [Pathology, Anatomic Pathology , EAST MEADOW NY] | MODICA, IPPOLITO [Pathology, Anatomic Pathology , NEW YORK NY]"
Y,Mount Sinai,135562304,hospital,New York Eye and Ear Infirmary of Mount Sinai,0,1,,NEW YORK EYE AND EAR INFIRMARY OF MOUNT SINAI,0/2,,NEW YORK EYE & EAR INFIRMARY x1,"NY1,NC1","NEW YORK EYE & EAR INFIRMARY [Special Hospital, NEW YORK CITY NY] | HARTZELL, MATTHEW [Psychiatry & Neurology, Psychi, CHARLOTTE NC]"
